"Property","Field","Profile","UTMZone","Eastings_UTM","Northings_UTM","Eastings_AA","Northings_AA","Longitude","Latitude","mid_depth","Ca_Soln","S","Na_Soln","pH","EC","Cl","ECse","NO3N","Ex_Ca","Ex_Mg","Ex_Na","Ex_K","ESP","EMgP","CEC","ADMC","Coarse_sand","Fine_sand","Silt","Clay","P","OC","Cu","Zn","Mn","Fe","BD","VM_W","VM_D","PAWC"
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.05,85.25,42,39.83,7.5,0.1,20,0.42251381,20,25.9,8.92,0.2,1.02,0.5,20.74418605,43,5.7,4,30,19,50,85,1.44,2.9,1.5,17.7,18.9,1.433409844,0.407490898,0.2529251,15.4565798
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.2,361.1,42,100.95,8.6,0.16,20,0.612840618,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.429000647,0.407490898,0.28157994,25.1821916
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.4,295.8,42,182.55,8.8,0.16,20,0.612840618,7,21.4,12.9,0.69,0.29,1.7,32.25,40,4.9,9,27,17,50,NA,NA,NA,NA,NA,NA,1.510174885,0.426926088,0.311312305,23.1227566
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.6,222.1,42,344.95,9,0.18,20,0.674085886,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.388179036,0.402004851,0.281942948,24.0123806
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,0.8,168.4,42,557,9.2,0.22,20,0.767668404,1,18,18.9,2.61,0.28,6.1,43.95348837,43,5,6,18,19,56,NA,NA,NA,NA,NA,NA,1.440170345,0.38610871,0.285144437,20.1928546
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,1,154.2,57.4,740,9.2,0.24,20,0.825087892,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.527826908,0.359224468,0.31025502,9.7938896
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,1.2,150.55,87.35,903.5,9.3,0.27,27,0.95801915,1,14.8,19,4.31,0.32,10,44.18604651,43,3.7,6,21,17,56,NA,NA,NA,NA,NA,NA,1.570100439,0.359233211,0.300651559,11.7163304
"Grandview","155",1,56,251131.2488,7305948.029,1855149.136,-2763522.281,150.5471916,-24.33986861,1.4,121.5,236.55,931.5,9.3,0.37,75,1.509217358,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.590915369,0.351323443,0.326446289,4.9754308
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.05,230.2,42,151.15,8.7,0.13,20,0.489219736,9,51.1,12.5,0.75,0.61,1.2,20.49180328,61,4.5,8,18,13,60,2,1.76,2.4,0.8,10.4,17.8,1.374152859,0.410048363,0.256341911,15.3706452
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.2,222.85,42,337.35,8.8,0.14,20,0.519263142,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.345432904,0.410048363,0.280178655,25.9739416
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.4,157.5,42,633,9,0.19,20,0.66594798,11,38,14.8,3.29,0.3,5.9,26.42857143,56,4.6,8,12,15,60,NA,NA,NA,NA,NA,NA,1.340784084,0.438557706,0.306162776,26.478986
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.6,93.35,42,839,9.1,0.23,20,0.779994533,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.380983174,0.432632874,0.321351904,22.256194
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,0.8,64.9,52,1001,9.2,0.3,74,1.226880417,8,27.3,17.7,6.9,0.28,11.9,30.51724138,58,4.7,7,15,13,63,NA,NA,NA,NA,NA,NA,1.410690909,0.43147862,0.333826534,19.5304172
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,1,70.05,198,1297.5,9.1,0.47,244,2.327337525,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411619578,0.422216936,0.344449152,15.5535568
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,1.2,63.2,414.25,1448.5,8.9,0.73,516,3.977012934,13,23.1,18.1,7.84,0.53,14.5,33.51851852,54,3.4,8,12,13,63,NA,NA,NA,NA,NA,NA,1.369094519,0.41207955,0.349204114,12.5750872
"Grandview","155",2,56,251469.788,7305904.858,1855472.356,-2763619.73,150.5505183,-24.34031206,1.4,63,674.5,1670,8.8,0.89,658,4.921267523,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324806467,0.397540553,0.357191221,8.0698664
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.05,42.58,42,86.7,8.2,0.09,20,0.426005337,11,15.9,7.42,0.4,0.3,1.4,25.5862069,29,1.5,29,24,6,38,7,1.39,1.5,0.8,24.3,11.4,1.590338742,0.32911,0.149382022,17.9727978
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.2,34.97,42,127.4,8.3,0.06,20,0.315901851,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.553761807,0.329109664,0.225820642,20.6578044
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.4,47.815,42,199.45,8.6,0.09,24,0.421818632,9,12.8,11.8,2.65,0.13,11,49.16666667,24,2.9,28,18,8,45,NA,NA,NA,NA,NA,NA,1.529945318,0.370435762,0.256828448,22.7214628
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.6,40.615,45.07,339.7,9,0.19,49,0.883089943,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.508324451,0.351273254,0.223069679,25.640715
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,0.8,48.585,112.25,897,9.2,0.4,138,1.945546584,22,9.22,14.9,4.97,0.18,15.1,45.15151515,33,3,22,18,9,49,NA,NA,NA,NA,NA,NA,1.512080295,0.351273254,0.35837576,0
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,1,44.275,261.1,716,9,0.52,308,2.967741441,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494461972,0.351273254,0.350373537,0.1799434
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,1.2,52,436.4,824,8.5,0.68,547,4.206114374,43,7.73,16.3,6.41,0.23,17.8,45.27777778,36,3,20,14,13,52,NA,NA,NA,NA,NA,NA,1.474907516,0.345056527,0.340698584,0.8715886
"Grandview","155",3,56,251938.497,7305845.772,1855919.968,-2763753.967,150.5551243,-24.34091973,1.4,35.215,665.5,1068.5,7.8,0.71,583,4.42458384,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488703788,0.342171867,0.304582782,7.517817
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.05,222.35,42,112.5,8.5,0.13,20,0.503380029,5,40.9,10.9,0.49,0.73,0.9,19.46428571,56,4.5,12,19,13,55,1,1.73,2.1,1,14.9,17.4,1.373688921,0.4252,0.221394117,20.3805883
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.2,214.85,42,289,8.8,0.13,20,0.503380029,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.342647751,0.425266208,0.29233638,26.5859656
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.4,158.15,42,547.5,8.9,0.18,20,0.64383753,8,31,13.2,2.43,0.23,4.7,25.38461538,52,6.6,12,19,14,58,NA,NA,NA,NA,NA,NA,1.34232975,0.413528578,0.308366783,21.032359
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.6,101.2,42,806,9.1,0.23,30,0.847556573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.413912328,0.400427108,0.337804286,12.5245644
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,0.8,99.15,70.2,1130,9.2,0.3,70,1.232719225,7,26.8,16.7,6.27,0.22,11.6,30.92592593,54,8.2,12,18,14,60,NA,NA,NA,NA,NA,NA,1.451365604,0.419068015,0.357255489,12.3625052
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,1,125.2,214.3,1663,9.1,0.44,190,2.108170978,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435341376,0.399425834,0.367328748,6.4194172
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,1.2,87.45,375.05,1579,9,0.64,360,3.288643103,15,25,18.2,8.29,0.28,16.3,35.68627451,51,4.2,10,13,12,61,NA,NA,NA,NA,NA,NA,1.401328663,0.379202563,0.411240674,0
"Grandview","155",5,56,251525.2124,7305994.936,1855541.152,-2763538.795,150.5510798,-24.33950805,1.4,72.25,465.65,1553,8.9,0.8,569,4.428172577,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.377467746,0.382093527,0.389052881,0
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.05,78.4,42,21.15,7.6,0.06,20,0.313156566,2,25.7,5.03,0.14,0.54,0.4,13.23684211,38,3.3,10,36,17,39,49,1.19,2.3,1.7,18.5,14.6,1.366306281,0.229902946,0.143157217,8.6745729
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.2,196.05,42,28.315,8.3,0.12,20,0.526741607,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.477992696,0.357914146,0.18425245,34.7323392
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.4,249.25,42,31.085,8.3,0.13,20,0.556395294,14,28.5,3.86,0.15,0.39,0.6,14.2962963,27,3.4,12,27,17,40,NA,NA,NA,NA,NA,NA,1.512904799,0.357914146,0.157148848,40.1530596
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.6,161.45,42,34.555,8.3,0.1,20,0.45414445,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.482281904,0.349090793,0.224445489,24.9290608
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,0.8,140.25,42,24.76,8.5,0.08,20,0.427565613,2,18.3,3.45,0.12,0.33,0.4,11.89655172,29,2.7,41,18,9,28,NA,NA,NA,NA,NA,NA,1.42790484,0.193502065,0.243596206,0
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,1,227.5,42,23.35,8.8,0.09,20,0.466235405,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502918635,0.273283663,0.19779757,15.0972186
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,1.2,281.35,42,26.785,8.6,0.12,20,0.57873125,9,19.7,6.64,0.13,0.33,0.2,18.97142857,35,2.7,28,31,10,28,NA,NA,NA,NA,NA,NA,1.509635039,0.165062089,0.210538872,0
"Grandview","155",7,56,251272.4994,7306123.34,1855315.595,-2763370.129,150.5486132,-24.33830917,1.4,306.65,42,31.715,8.7,0.12,20,0.57873125,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.198181848,0.21278594,0
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,0.05,191.15,42,176.7,8.6,0.16,20,0.588127466,13,41,12.2,0.92,0.63,1.7,22.59259259,54,4.7,9,18,17,57,5,1.56,2.3,2.4,13,19.4,1.44061077,0.342879071,0.280455832,6.2423239
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,0.2,203.4,42,373.7,8.8,0.18,22,0.658854271,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30065033,0.455481663,0.293126456,32.4710414
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,0.4,156.75,42,725,9,0.22,22,0.756424759,6,36.4,17,3.65,0.28,6.8,31.48148148,54,5.2,7,11,16,62,NA,NA,NA,NA,NA,NA,1.274634118,0.454165442,0.301060453,30.6209978
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,0.6,117.4,42,945.5,9.1,0.25,28,0.876901576,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.286767468,0.382401758,0.310057724,14.4688068
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,0.8,95.35,72.35,1208.5,9.2,0.32,52,1.210775439,5,27.7,19.2,6.88,0.27,13.2,36.92307692,52,3.6,6,11,17,61,NA,NA,NA,NA,NA,NA,1.32487071,0.35935193,0.318961503,8.0780854
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,1,93.35,246.55,1409.5,9.1,0.44,146,1.954262227,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.392431378,0.377220829,0.337335476,7.9770706
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,1.2,54.4,422.45,974.5,8.9,0.68,429,3.480444975,11,20.9,18.1,7.78,0.29,16.6,38.5106383,47,4.9,4,13,16,67,NA,NA,NA,NA,NA,NA,1.426514874,0.380076887,0.35001198,6.0129814
"Grandview","155",8,56,251626.4099,7306078.639,1855653.562,-2763471.573,150.552091,-24.33876884,1.4,54.45,612.5,1132,8.7,0.82,671,4.567239282,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45805868,0.405132317,0.3780317,5.4201234
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,0.05,53.05,42,101.4,7.9,0.07,20,0.326508331,10,16.5,8.61,0.44,0.27,1.3,27.77419355,31,3.1,27,16,12,48,1,1.55,1.8,1,43.1,17.6,1.648000811,0.277391913,0.150049627,12.7342286
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,0.2,36.675,42,199.95,8.7,0.1,20,0.428265805,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.573491621,0.360919896,0.239451988,24.2935816
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,0.4,62.1,42,433.7,9,0.17,20,0.63966022,8,15.7,13.7,2.11,0.14,5.6,36.05263158,38,3.2,24,16,10,51,NA,NA,NA,NA,NA,NA,1.53780494,0.373222123,0.262115419,22.2213408
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,0.6,63.5,42,691,9.2,0.25,36,0.978689286,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534809533,0.389053286,0.270004461,23.809765
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,0.8,87.85,85.5,1144,9.2,0.36,107,1.637522657,16,9.31,15.4,4.36,0.18,12.5,44,35,3.1,24,16,10,53,NA,NA,NA,NA,NA,NA,1.540315943,0.374744895,0.279028459,19.1432872
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,1,80.45,158.35,1206,9.2,0.49,234,2.536095723,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.530914213,0.354578152,0.295648945,11.7858414
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,1.2,51.6,235.6,744,8.9,0.51,392,3.078547105,28,7.55,16.8,5.25,0.18,18.8,60,28,2.9,22,16,10,53,NA,NA,NA,NA,NA,NA,1.508867204,0.355898263,0.328063892,5.5668742
"Grandview","155",9,56,251834.9944,7306052.179,1855852.731,-2763531.477,150.5541407,-24.33904076,1.4,62,242.75,680,8.3,0.54,539,3.592947135,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.493808473,0.343397118,0.350370435,0
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,0.05,88.55,42,64.95,8.3,0.11,20,0.474269874,7,25.4,9.43,0.3,0.39,0.7,23,41,3.2,30,18,10,44,1,2.14,1.5,0.8,26.2,14.3,1.605561094,0.32545039,0.214445077,11.1005313
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,0.2,69.65,42,178.4,8.7,0.1,20,0.440591275,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.549578401,0.32545039,0.248132452,15.4635876
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,0.4,29.245,42,217.75,8.8,0.08,20,0.366255405,6,17.9,12.6,1.76,0.16,4.4,31.5,40,3.3,27,17,8,46,NA,NA,NA,NA,NA,NA,1.52594439,0.334853044,0.251835113,16.6035862
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,0.6,107.8,42,652.5,9.2,0.21,20,0.783504623,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.531154105,0.332919446,0.295431561,7.497577
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,0.8,92.9,42,963,9.4,0.26,25,0.984419042,6,8.68,14.8,3.82,0.12,11.6,44.84848485,33,3.3,30,17,10,44,NA,NA,NA,NA,NA,NA,1.523721374,0.336431841,0.291438246,8.998719
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,1,71.75,93.3,1194.5,9.4,0.37,88,1.698500286,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.525696351,0.343448843,0.323465363,3.996696
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,1.2,57.65,158.05,1298.5,9.3,0.5,263,2.74765305,22,6.87,18,5.97,0.17,16.1,48.64864865,37,3,25,16,10,49,NA,NA,NA,NA,NA,NA,1.510646156,0.352531128,0.351857731,0.1346794
"Grandview","155",11,56,251764.309,7306206.481,1855808.993,-2763366.226,150.5534713,-24.33763716,1.4,24.275,191.8,720,9,0.56,436,3.51056801,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.474303764,0.372741019,0.374832001,0
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,0.05,43.945,42,126.55,8.3,0.08,20,0.358458267,6,24.6,10.9,0.7,0.29,1.9,30.27777778,36,3.5,26,17,11,49,12,1.17,1.8,1.5,24.8,16.2,1.611608693,0.349417398,0.180314289,16.9103109
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,0.2,29.185,42,168.6,8.6,0.07,20,0.324161312,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.483054926,0.43331383,0.23587547,39.487672
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,0.4,33.32,42,245.2,8.9,0.12,20,0.484154521,10,19.1,13.1,3,0.19,7.3,31.95121951,41,3.4,24,14,13,51,NA,NA,NA,NA,NA,NA,1.455240892,0.336548359,0.260829045,15.1438628
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,0.6,57.2,42,458.95,9,0.19,24,0.724753829,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.454867144,0.2814091,0.172426115,21.796597
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,0.8,77.1,157.55,1206,9.2,0.42,132,1.964728868,22,14.1,16.8,6.44,0.18,17.4,45.40540541,37,3.3,23,16,9,51,NA,NA,NA,NA,NA,NA,1.436287384,0.240228832,0.23062835,1.9200964
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,1,63,340,1332.5,9,0.68,423,3.880695517,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.474913736,0.238157429,0.300470406,0
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,1.2,46.35,506,1055,8.4,0.84,763,5.100211482,43,9.76,15.5,6.39,0.18,17.8,43.05555556,36,3.2,16,14,13,60,NA,NA,NA,NA,NA,NA,1.464059016,0.252167621,0.280665254,0
"Grandview","155",12,56,252011.0332,7306175.374,1856044.612,-2763436.892,150.5558958,-24.33795704,1.4,87.9,428.2,940.5,7.2,0.87,913,5.57845253,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488459542,0.277186794,0.291535449,0
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,0.05,58.85,42,41.75,6.5,0.07,20,0.331369098,12,20.2,9.32,0.22,0.89,0.6,25.18918919,37,3.5,10,28,19,46,108,2.24,2.6,1.5,59,46.6,1.549099915,0.366,0.185810159,18.0189841
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,0.2,57.85,42,60.2,7.1,0.05,20,0.259278972,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.499955505,0.366276601,0.245024955,24.2503292
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,0.4,30.12,42,65.2,7.4,0.04,20,0.235730486,4,21.3,8.76,0.31,0.28,0.8,23.67567568,37,3.2,28,22,9,39,NA,NA,NA,NA,NA,NA,1.533301177,0.377848851,0.279412231,19.687324
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,0.6,87.75,42,72.55,8.2,0.1,20,0.457745757,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.614555161,0.396197052,0.31692426,15.8545584
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,0.8,164,42,63.6,8.6,0.1,20,0.536499013,1,15.3,7.56,0.28,0.26,1.1,29.07692308,26,2.2,57,16,7,22,NA,NA,NA,NA,NA,NA,1.605597513,0.383465331,0.323323657,12.0283348
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,1,257.5,42,115.9,8.8,0.13,20,0.653013498,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.632636916,0.364843838,0.329991381,6.9704914
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,1.2,258,46.02,153.8,8.8,0.15,20,0.609476737,5,17.8,13,0.56,0.24,1.9,43.33333333,30,3.5,12,35,12,43,NA,NA,NA,NA,NA,NA,1.48439326,0.346155934,0.318585895,5.5140078
"Grandview","155",13,56,251580.8433,7306302.681,1855645.729,-2763240.804,150.5516811,-24.33673993,1.4,258.75,95.85,161.35,8.8,0.17,20,0.673551292,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.556196829,0.361835628,0.376921791,0
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,0.05,171.7,42,74.4,8.4,0.13,20,0.532998155,16,27.8,7.82,0.28,0.35,0.7,18.61904762,42,3.3,27,19,8,46,1,1.19,1.6,1,11,12.6,1.443457667,0.310104619,0.191241427,11.8863192
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,0.2,60.05,42,102.85,8.4,0.08,20,0.366255405,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.422731177,0.427302013,0.271768355,31.1067316
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,0.4,45.795,42,174.65,8.5,0.07,20,0.326508331,8,21,12.9,1.17,0.2,2.9,31.46341463,41,3.5,28,16,10,48,NA,NA,NA,NA,NA,NA,1.395689795,0.444666043,0.320895924,24.7540238
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,0.6,42.715,42,322.75,8.9,0.16,20,0.620612011,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.380237028,0.439326477,0.341276808,19.6099338
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,0.8,101.7,42,738,9.1,0.22,20,0.803824344,5,13.8,16.9,3.31,0.18,8.5,43.33333333,39,3.4,31,14,7,48,NA,NA,NA,NA,NA,NA,1.384954922,0.450912001,0.36570009,17.0423822
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,1,104.3,42,927,9.3,0.27,21,0.959847104,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.388228933,0.436059873,0.391254,8.9611746
